vehicle_category,make,model,manufacture_year,district,count
THREE WHEELER,BAJAJ,AR4S-UG,2010,COLOMBO,1
MOTOR CYCLE,SOURCE LINK,CAGW01,2016,COLOMBO,1
CAR,MERCEDES BENZ,B CLASS,2016,COLOMBO,2
MOTOR CYCLE,RW,JINBAO,2016,COLOMBO,5
MOTOR CYCLE,RW,HANBAO,2016,PUTTALAM,1
MOTOR CYCLE,RW,LIEBAO,2016,PUTTALAM,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,COLOMBO,6
MOTOR CYCLE,RW,SHANGJING,2017,COLOMBO,1
MOTOR CYCLE,TAILG,TDWG652,2018,KANDY,6
MOTOR CYCLE,RW,SCOOTER,2016,COLOMBO,1
MOTOR CYCLE,RW,LIBAO,2016,COLOMBO,3
MOTOR CYCLE,OKINAWA,PRAISE,2018,GALLE,2
MOTOR CYCLE,SHANGLING,SR COOL,2022,HAMBANTOTA,5
MOTOR CYCLE,SURYA,SR COOL,2023,GALLE,2
CAR,MERCEDES BENZ,EQS 450,2023,COLOMBO,2
CAR,AUDI,RS E-TRON GT,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQE300 AMG,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQS-450 ZAA-296624,2024,COLOMBO,1
MOTOR CYCLE,REVOLT,RV400 BRZ,2024,COLOMBO,1
CAR,MERCEDES BENZ,EQB 250 PLUS,2024,COLOMBO,11
CAR,MERCEDES BENZ,EQE 300 SUV,2024,GALLE,1
MOTOR CYCLE,REVOLT,RV 400,2024,COLOMBO,20
CAR,AUDI,E-TRON-50,2024,COLOMBO,2
CAR,AUDI,Q4 40 ETRON S-LINE,2023,COLOMBO,1
MOTOR CYCLE,REVOLT,RV 1,2025,COLOMBO,2
CAR,TOYOTA,5AA-A202A  RAIZE,2022,KANDY,3
CAR,TOYOTA,5BA-A202A RAIZE,2025,RATNAPURA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,MONERAGALA,8
MOTOR CYCLE,REVOLT,RV 1,2024,COLOMBO,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,MONERAGALA,6
MOTOR CYCLE,SHANGLING,SR COOL,2022,TRINCOMALEE,1
CAR,TOYOTA,5AA-A202A  RAIZE,2023,RATNAPURA,1
CAR,TOYOTA,5AA- A202A RAIZE,2025,COLOMBO,1
MOTOR CYCLE,TAKASHI,ES PRO PLUS,2025,COLOMBO,2
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,GALLE,2
MOTOR CYCLE,TAKASHI,ES LITE,2025,PUTTALAM,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,TRINCOMALEE,1
MOTOR CYCLE,TAILG,F55,2025,GALLE,1
MOTOR CYCLE,TAILG,F72,2025,MONERAGALA,1
CAR,MERCEDES BENZ,BENZ B CLASS,2015,GAMPAHA,1
THREE WHEELER,BAJAJ,RE,2019,GAMPAHA,1
MOTOR CYCLE,SHANGLING,SR COOL,2022,KURUNEGALA,1
CAR,AUDI,Q4 SPORTBACK 40,2023,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,ANURADHAPURA,2
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,KURUNEGALA,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,ANURADHAPURA,2
MOTOR CYCLE,TAILG,F72,2025,KURUNEGALA,3
MOTOR CYCLE,RW,SHANGJING,2016,KALUTARA,1
MOTOR CYCLE,RW,QUANNENGWANG,2016,KALUTARA,1
MOTOR CYCLE,TAKASHI,ES LITE,2025,KALUTARA,1
MOTOR CYCLE,TAILG,MENGSU,2025,POLONNARUWA,1
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,KALUTARA,1
MOTOR CYCLE,RW,CHAOYUE,2016,MATALE,1
CAR,MERCEDES BENZ,EQE 300 SUV,2024,MATARA,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,KALUTARA,34
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,ANURADHAPURA,2
CAR,JMEV,JX7001ERCBEV,2025,KALUTARA,1
MOTOR CYCLE,FARMERS,ELECTRIC BIKE,2008,GAMPAHA,1
MOTOR CYCLE,SUNBIKE,LITE,2016,GAMPAHA,1
MOTOR CYCLE,RW,JINGYING,2017,GAMPAHA,1
MOTOR CYCLE,TAILG,RED RABBIT,2024,GAMPAHA,3
MOTOR CYCLE,Y2,COOL RIDER,2024,GAMPAHA,1
MOTOR CYCLE,TMR LUYUAN,S18,2022,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,PUTTALAM,3
MOTOR CYCLE,TMR LUYUAN,MNK3,2025,MATARA,1
CAR,TOYOTA,5AA-A202A RAIZE,2022,PUTTALAM,4
MOTOR CYCLE,SUNWE,HAWK,2017,GAMPAHA,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,KILINOCHCHI,3
MOTOR CYCLE,TAKASHI,ES PRO,2025,RATNAPURA,1
MOTOR CYCLE,TAKASHI,ES PRO PLUS,2025,RATNAPURA,3
MOTOR CYCLE,TAKASHI,ES LITE,2025,RATNAPURA,3
CAR,TOYOTA,5AA-A202A RAIZE,2024,POLONNARUWA,2
MOTOR CYCLE,OKINAWA,RIDGE,2018,MULLATIVU,2
MOTOR CYCLE,RW,SHANGJIANG,2017,JAFFNA,1
MOTOR CYCLE,REVOLT,RV 400,2025,JAFFNA,2
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,JAFFNA,2
CAR,SCOOTERS INDIA,.,2003,COLOMBO,1
THREE WHEELER,BAJAJ,RE-E-DRIVE,2013,COLOMBO,1
THREE WHEELER,BAJAJ,RE,2013,COLOMBO,1
MOTOR CYCLE,FLAME,ES220,2016,COLOMBO,1
MOTOR CYCLE,RW,JINGYING,2016,HAMBANTOTA,1
MOTOR CYCLE,TAILG,TDWG65Z,2018,KEGALLE,1
THREE WHEELER,BAJAJ,RE,2020,COLOMBO,1
MOTOR CYCLE,RW, QUANNENGW,2016,COLOMBO,1
MOTOR CYCLE,TAILG,TDMG57Z,2017,COLOMBO,1
MOTOR CYCLE,RW,JINBAO,2016,GALLE,2
CAR,MERCEDES BENZ,EQB 300 AMG LINE,2023,COLOMBO,6
MOTOR CYCLE,SURYA,SR COOL,2023,COLOMBO,3
CAR,AUDI,Q4 40 E-TRON-SLINE,2024,KANDY,1
CAR,MERCEDES BENZ,EQB 250,2024,GALLE,1
CAR,MERCEDES BENZ,ZAA-24360 1C,2023,GALLE,1
CAR,AUDI,E-TRON 50 QUATTRO,2024,COLOMBO,19
MOTOR CYCLE,TAILG,SAI BEI,2024,COLOMBO,2
MOTOR CYCLE,TAILG,SAI BEI,2024,PUTTALAM,14
MOTOR CYCLE,TMR LUYUAN,S18,2025,COLOMBO,3
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,MONERAGALA,4
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,COLOMBO,1
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,TRINCOMALEE,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,COLOMBO,49
CAR,MERCEDES BENZ,EQS 450 PLUS,2025,COLOMBO,1
MOTOR CYCLE,HORWIN,SK1DS,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQB 250 PLUS,2025,COLOMBO,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,HAMBANTOTA,1
MOTOR CYCLE,TAKASHI,ES PRO PLUS,2025,HAMBANTOTA,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,JAFFNA,2
THREE WHEELER,TMR LUYUAN,MTPBT20 B8,2025,KURUNEGALA,1
CAR,TOYOTA,5AA-A202A RAIZE,2022,BATTICALOA,1
MOTOR CYCLE,TAILG,F55,2025,KEGALLE,1
CAR,MERCEDES BENZ,BANZ B CLASS,2015,GAMPAHA,1
CAR,MERCEDES BENZ,B CLASS,2015,GAMPAHA,2
CAR,AUDI,D4-E-TRON S LINE 40,2023,GAMPAHA,1
MOTOR CYCLE,SURYA,SR COOL,2023,KURUNEGALA,1
CAR,AUDI,ZAA-FZEBJ-Q4,2023,GAMPAHA,1
CAR,AUDI,Q4-SPORTBACK40ETRON,2024,GAMPAHA,1
CAR,AUDI,E-TRON 50,2024,BADULLA,1
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,KURUNEGALA,10
CAR,TOYOTA,5AA-A202A,2025,ANURADHAPURA,2
CAR,TOYOTA,5AA-A202A,2025,GAMPAHA,6
MOTOR CYCLE,OKINAWA,RIDGE,2018,KALUTARA,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,POLONNARUWA,3
MOTOR CYCLE,REVOLT,RV 400,2024,KALUTARA,6
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,KALUTARA,1
MOTOR CYCLE,TAKASHI,E ROCCO,2025,BADULLA,1
MOTOR CYCLE,RW,LIEBAO,,ANURADHAPURA,1
MOTOR CYCLE,SURYA,SR COOL,2023,ANURADHAPURA,1
CAR,MERCEDES BENZ,EQA 300 AMG LINE,2023,KEGALLE,1
MOTOR CYCLE,TAILG,RED RABBIT,2024,ANURADHAPURA,4
MOTOR CYCLE,TAILG,SAI BEI,2024,MATALE,1
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,ANURADHAPURA,8
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,MATALE,1
MOTOR CYCLE,REVOLT,RV 1,2024,ANURADHAPURA,1
CAR,TOYOTA,5AA-A202A RAIZE,2022,KURUNEGALA,4
CAR,TOYOTA,5AA-A202A RAIZE,2024,KEGALLE,2
CAR,TOYOTA,5AA-A202A RAISE,2023,KILINOCHCHI,1
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,ANURADHAPURA,1
CAR,TOYOTA,5AA-A202A  RAIZE,2023,MATARA,1
MOTOR CYCLE,CHITUMA,XF50QD- ZG 500 W,2008,GAMPAHA,1
MOTOR CYCLE,RW,HANBAO,2016,GAMPAHA,12
MOTOR CYCLE,OKINAWA,RIDGE,2018,GAMPAHA,7
MOTOR CYCLE,RW,QUANNENGWANG,2017,GAMPAHA,1
MOTOR CYCLE,RW,JINBAO,2016,GAMPAHA,1
CAR,MERCEDES BENZ,EQS 450,2023,PUTTALAM,1
MOTOR CYCLE,Y2,SSKY BIKE,2024,GAMPAHA,1
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,MATARA,1
MOTOR CYCLE,YADEA,YD800DQT-30A,2025,GAMPAHA,1
THREE WHEELER,TMR LUYUAN,MTPBT20 B8,2025,TRINCOMALEE,1
MOTOR CYCLE,OKINAWA,RIDGE,2019,KILINOCHCHI,1
MOTOR CYCLE,RW,JINGYING,2017,JAFFNA,2
MOTOR CYCLE,RW,JINGYING,2016,JAFFNA,1
MOTOR CYCLE,GUOWEI EAGLE,GWEM01PRETTY,2018,COLOMBO,1
MOTOR CYCLE,ELECTRIC SCOOTER,GTDR027,2018,COLOMBO,1
MOTOR CYCLE,ELECTRIC SCOOTER,ZUUMAV,2019,MONERAGALA,1
THREE WHEELER,BAJAJ,RE,2015,COLOMBO,4
THREE WHEELER,BAJAJ,RE,2016,JAFFNA,2
MOTOR CYCLE,TAILG,TWDG65Z,2017,GALLE,1
MOTOR CYCLE,TAILG,TDR5001Z,2018,KANDY,2
MOTOR CYCLE,RW,QUIBITE,2017,COLOMBO,1
MOTOR CYCLE,RW,RW,2016,COLOMBO,1
CAR,MERCEDES BENZ,EQA 300 AMG LINE PRE,2023,KANDY,1
CAR,AUDI,Q4E-TRON SPORT,2023,COLOMBO,1
CAR,AUDI,Q4-40 E-TRON S LINE,2023,COLOMBO,1
CAR,AUDI,ZAA-FZEBJ Q4 S LINE,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQE 300,2024,COLOMBO,4
CAR,MERCEDES BENZ,EQE 300 SUV,2024,COLOMBO,9
CAR,AUDI,Q4 SPORT BACK 40E,2024,COLOMBO,1
MOTOR CYCLE,BAJAJ,DISCOVER 125,2024,GALLE,1
MOTOR CYCLE,ZHEJIANG,N7,2024,COLOMBO,1
MOTOR CYCLE,TAILG,A5,2023,COLOMBO,1
MOTOR CYCLE,TAILG,SAI BEI,2025,PUTTALAM,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,COLOMBO,152
CAR,MERCEDES BENZ,EQA 250 PLUS,2025,COLOMBO,3
CAR,TOYOTA,5AA-A202A RAIZE,2024,RATNAPURA,4
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,AMPARA,3
CAR,AUDI,E-TRON GT QUATTRO,2024,GALLE,1
CAR,TOYOTA,5BA-A202A-RAIZE,2025,MONERAGALA,1
CAR,TOYOTA,5BA-A202A RAIZE,2022,KANDY,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,NUWARA-ELIYA,3
MOTOR CYCLE,REVOLT,RV 400,2025,KEGALLE,1
MOTOR CYCLE,TAILG,F55,2025,KANDY,1
CAR,ELECTRICA,BSBPR,2007,GAMPAHA,1
CAR,MERCEDES BENZ,EQB300LINE PREMIUM4M,2023,GAMPAHA,1
MOTOR CYCLE,REVOLT,RV 400,2024,KURUNEGALA,5
MOTOR CYCLE,TAILG,SAI BEI,2024,KURUNEGALA,3
MOTOR CYCLE,TAILG,MENGSU,2024,KURUNEGALA,2
CAR,AUDI,E-TRON 50 QUATTRO,2024,GAMPAHA,1
MOTOR CYCLE,REVOLT,RV 1,2025,KURUNEGALA,5
MOTOR CYCLE,TAILG,TDS2459Z,2025,KURUNEGALA,1
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,KURUNEGALA,3
MOTOR CYCLE,MYWAY MV,DPX SPARK,2017,KALUTARA,1
MOTOR CYCLE,TAILG,RED RABBIT,2024,POLONNARUWA,1
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,BADULLA,1
MOTOR CYCLE,TAILG,F55,2025,POLONNARUWA,1
CAR,A.M.W.,I7 X,2024,KURUNEGALA,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,MATARA,21
CAR,TOYOTA,5AA--A202A RAIZE,2025,KALUTARA,1
CAR,TOYOTA,5AA A202A RAIZE,2025,KURUNEGALA,1
MOTOR CYCLE,RW,QUANNENGW,2017,GAMPAHA,1
MOTOR CYCLE,RW,QUANNENGW,2016,MATARA,1
MOTOR CYCLE,SKANDIG,GT60,2022,GAMPAHA,1
MOTOR CYCLE,TMR LUYUAN,S18,2025,GAMPAHA,28
CAR,TOYOTA,5AA-A202A RAIZE,2025,PUTTALAM,25
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,MATARA,2
MOTOR CYCLE,REVOLT,RV 400,2025,GAMPAHA,2
MOTOR CYCLE,TAILG,F72,2025,MATARA,1
THREE WHEELER,BAJAJ,RE-E-DRIVE,2015,PUTTALAM,1
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,RATNAPURA,2
MOTOR CYCLE,TAKASHI,E ROCCO,2025,RATNAPURA,1
MOTOR CYCLE,BYVIN,TDR33101Z,2014,COLOMBO,2
MOTOR CYCLE,GALLANT,ZX - HYBRID,2018,COLOMBO,1
CAR,MERCEDES BENZ,B-CLASS,2015,COLOMBO,3
MOTOR CYCLE,TAILG,TDWG652,2017,KANDY,1
MOTOR CYCLE,TAILG,TDWG65Z,2018,KANDY,4
MOTOR CYCLE,RW,LIBAO,2016,PUTTALAM,1
MOTOR CYCLE,RW,JUWUBA,2016,COLOMBO,3
MOTOR CYCLE,OKINAWA,RIDGE,2018,HAMBANTOTA,2
MOTOR CYCLE,RW,JINBAO,2017,COLOMBO,1
MOTOR CYCLE,TAILG,TDRD16Z,2018,COLOMBO,14
MOTOR CYCLE,SHANGLING,SHANGLING 1000W,2023,COLOMBO,1
CAR,AUDI,Q4E-TRON S LINE 40,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQB300 AMG LINE PLUS,2023,COLOMBO,1
MOTOR CYCLE,SURYA,SR COOL,2023,HAMBANTOTA,1
CAR,AUDI,Q4 E-TRON,2023,COLOMBO,2
CAR,MERCEDES BENZ,ZAA-243601C EQB 250,2023,COLOMBO,1
CAR,AUDI,Q4 40 E TRON,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQB 250,2024,COLOMBO,3
CAR,MERCEDES BENZ,EQB 250,2024,BATTICALOA,1
CAR,MERCEDES BENZ,EQB250 PLUS AMGLINE,2024,COLOMBO,1
CAR,AUDI,E-TRON 50 QUATTRO,2024,GALLE,1
THREE WHEELER,BAJAJ,RE-E-TEC 9.0,2024,BADULLA,1
MOTOR CYCLE,TAILG,MENGSU,2024,HAMBANTOTA,1
MOTOR CYCLE,TAILG,RED RABBIT,2024,MONERAGALA,2
MOTOR CYCLE,TAILG,SAI BEI,2024,MONERAGALA,10
MOTOR CYCLE,TAILG,S2,2024,AMPARA,1
MOTOR CYCLE,TMR LUYUAN,MQQ6,2025,GALLE,3
CAR,TOYOTA,5AA-A202A,2024,COLOMBO,2
CAR,TOYOTA,5AA-A202A RAIZE,2024,HAMBANTOTA,2
CAR,JMEV,JX7001ERCBEV,2025,COLOMBO,2
CAR,TOYOTA,5AA-A202A  RAIZE,2022,COLOMBO,2
MOTOR CYCLE,REVOLT,RV 400,2025,KANDY,1
MOTOR CYCLE,TAILG,TDT70172,2024,COLOMBO,1
CAR,TOYOTA,5AA-A202A,2025,BATTICALOA,1
MOTOR CYCLE,REVOLT,RV 1,2025,MONERAGALA,1
MOTOR CYCLE,EGO,ROYAL 150,2025,COLOMBO,1
THREE WHEELER,BAJAJ,RE-E-DRIVE,2018,GAMPAHA,1
MOTOR CYCLE,REVOLT,RV 400,2025,KURUNEGALA,2
CAR,TOYOTA,5AA-A202A  RAIZE,2023,ANURADHAPURA,1
CAR,TOYOTA,5AA-A202A RAIZE,2022,GAMPAHA,7
CAR,TOYOTA,5AA- A202A RAIZE,2024,GAMPAHA,1
CAR,MERCEDES BENZ,EQE 350 SUV,2024,GAMPAHA,1
CAR,TOYOTA,5AA-A202A    RAIZE,2024,GAMPAHA,1
CAR,TOYOTA,5AA-A202 RAIZE,2025,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,BADULLA,1
MOTOR CYCLE,TAILG,TDWG652,2018,BADULLA,1
MOTOR CYCLE,OKINAWA,PRAISE,2018,KALUTARA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,BADULLA,2
CAR,MITSUOKA,1-8008,2004,KURUNEGALA,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,KEGALLE,1
MOTOR CYCLE,CHITUMA,XF 50 GDZQ 500 W,2008,GAMPAHA,1
MOTOR CYCLE,RW,QUIBITE,2016,GAMPAHA,3
MOTOR CYCLE,RW,QUANNENGW,2016,GAMPAHA,1
MOTOR CYCLE,OKINAWA,PRAISE BD,2018,GAMPAHA,1
MOTOR CYCLE,RW,CHAOYUE,2017,GAMPAHA,1
MOTOR CYCLE,REVOLT,RV 400,2024,MATARA,4
CAR,MERCEDES BENZ,EQE300SUV,2023,PUTTALAM,1
CAR,TOYOTA,5AA-A202A,2025,PUTTALAM,2
MOTOR CYCLE,SHANGLING,E- BILKE,2022,GAMPAHA,1
MOTOR CYCLE,TAKASHI,ES LITE,2025,MATARA,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,RATNAPURA,1
MOTOR CYCLE,OKINAWA,PRAICE,2018,RATNAPURA,1
MOTOR CYCLE,SHANGLING,SR COOL,2022,MANNAR,1
MOTOR CYCLE,SURYA,SR COOL,2023,KILINOCHCHI,1
MOTOR CYCLE,REVOLT,RV 400,2025,RATNAPURA,3
MOTOR CYCLE,TMR LUYUAN,S18,2025,MANNAR,1
MOTOR CYCLE,RW,JUWAUBA,2017,JAFFNA,1
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,JAFFNA,3
MOTOR CYCLE,GUOWEI EAGLE,GWEM01PRETTY,2017,HAMBANTOTA,4
MOTOR CYCLE,WAOPAL,FEGO,2018,COLOMBO,9
THREE WHEELER,BAJAJ,RE,2015,POLONNARUWA,1
CAR,MERCEDES BENZ,BENZ B CLASS,2015,KANDY,1
MOTOR CYCLE,SOURCE LINK,CAJM 01,2016,COLOMBO,1
CAR,MERCEDES BENZ,BENZ B CLASS,2016,COLOMBO,1
MOTOR CYCLE,FLAME,ES204,2016,COLOMBO,1
MOTOR CYCLE,TAILG,TDWG65Z,2017,COLOMBO,3
MOTOR CYCLE,RW,JINGYLNG,2016,COLOMBO,1
THREE WHEELER,BAJAJ,RE EV,2021,HAMBANTOTA,1
MOTOR CYCLE,RW,JINGYING,2016,COLOMBO,10
MOTOR CYCLE,SHANGLING,SR COOL,2022,COLOMBO,3
MOTOR CYCLE,QICHENG,QS60V,2021,COLOMBO,1
MOTOR CYCLE,AZE,LTD03,2022,VAVUNIYA,1
CAR,MERCEDES BENZ,EQB 250,2023,COLOMBO,5
CAR,MERCEDES BENZ,EQB 300,2023,COLOMBO,1
MOTOR CYCLE,E-SPRINTO,HS,2023,COLOMBO,2
CAR,MERCEDES BENZ,EQS450 4MATICAMGLINE,2024,COLOMBO,1
CAR,MERCEDES BENZ,EQB 250 AMG LINE,2024,COLOMBO,2
MOTOR CYCLE,TAILG,RED RABBIT,2024,COLOMBO,3
MOTOR CYCLE,REVOLT,RV 400,2024,HAMBANTOTA,4
THREE WHEELER,BAJAJ,RE E-TEC 9.0,2024,BADULLA,13
CAR,AUDI,E- TRON 50 QUATTRO,2024,COLOMBO,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,COLOMBO,16
MOTOR CYCLE,REVOLT,RV 400,2024,AMPARA,1
CAR,MERCEDES BENZ,EQS 450 PLUS,2024,COLOMBO,1
CAR,MERCEDES BENZ,EQA250 PLUS,2025,COLOMBO,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,MONERAGALA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,TRINCOMALEE,4
MOTOR CYCLE,HORWIN,EK3,2025,COLOMBO,1
MOTOR CYCLE,TAILG,RED RABBIT,2025,MONERAGALA,6
CAR,TOYOTA,5AA-A202A RAIZE,2023,BATTICALOA,2
CAR,TOYOTA,5AA-A202A RAIZE,2025,MATALE,5
CAR,TOYOTA,5AA-A202A RAIZE,2022,RATNAPURA,1
CAR,MERCEDES BENZ,EQV 300,2025,COLOMBO,1
CAR,TOYOTA,5AA-A202A,2025,HAMBANTOTA,1
CAR,JMEV,ELIGHT,2025,COLOMBO,1
MOTOR CYCLE,TAKASHI,ES LITE,2025,COLOMBO,1
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,COLOMBO,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,BATTICALOA,1
CAR,TOYOTA,5BA-A202A  RAIZE,2025,HAMBANTOTA,1
THREE WHEELER,BAJAJ,AUTO AR4S,2007,GAMPAHA,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,KURUNEGALA,4
CAR,AUDI,Q4 40 ETRON S LINE,2023,GAMPAHA,1
MOTOR CYCLE,TAILG,RED RABBIT,2024,KURUNEGALA,5
MOTOR CYCLE,BAJAJ,DISCOVER 125,2024,KURUNEGALA,1
CAR,MERCEDES BENZ,EQB 250 AMG LINE,2024,GAMPAHA,1
CAR,MERCEDES BENZ,ZAA-296624 EQS 450,2024,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,GAMPAHA,24
CAR,TOYOTA,5AA-A202A,2024,GAMPAHA,2
CAR,TOYOTA,5AA-A202A RAIZE,2022,ANURADHAPURA,2
MOTOR CYCLE,TAILG,LEIBAO,2025,KURUNEGALA,1
MOTOR CYCLE,RW,CHAOYUE,2016,POLONNARUWA,1
MOTOR CYCLE,REVOLT,RV 400,2025,KALUTARA,2
MOTOR CYCLE,TAILG,F72,2025,KALUTARA,1
MOTOR CYCLE,TAKASHI,ES PRO,2025,KALUTARA,2
CAR,TOYOTA,5AA-A202A RAIZE,2023,KALUTARA,6
CAR,AUDI,E-TRON 50 QUATTRO,2024,KURUNEGALA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,ANURADHAPURA,25
CAR,TOYOTA,5AA-A202A RAIZE,2024,MATARA,7
MOTOR CYCLE,TAILG,RED RABBIT,2025,MATALE,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,KEGALLE,7
MOTOR CYCLE,TAILG,RED RABBIT,2025,ANURADHAPURA,2
CAR,TOYOTA,5AA-A202A  RAIZE,2025,AMPARA,1
MOTOR CYCLE,REVOLT,RV 1,2025,ANURADHAPURA,3
MOTOR CYCLE,RW,JINGGUI,2016,GAMPAHA,4
MOTOR CYCLE,TAILG,TDWG65Z,2017,GAMPAHA,2
CAR,MERCEDES BENZ,EQB 250,2023,PUTTALAM,1
MOTOR CYCLE,TAILG,MENGSU,2024,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,PUTTALAM,1
MOTOR CYCLE,REVOLT,RV 1,2025,BATTICALOA,2
MOTOR CYCLE,TAKASHI,ES PRO PLUS,2025,MATARA,1
MOTOR CYCLE,TAILG,F55,2025,MATARA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,RATNAPURA,6
MOTOR CYCLE,TAILG,TDMG57Z,2017,JAFFNA,1
MOTOR CYCLE,BYVIN,TDRA7501ZA,2014,COLOMBO,1
THREE WHEELER,FOTON,612 T K A,2011,KURUNEGALA,1
CAR,MERCEDES BENZ,B-CLASS ELECTRIC,2015,COLOMBO,1
MOTOR CYCLE,MYWAY MV,DPX,2017,COLOMBO,2
MOTOR CYCLE,OKINAWA,RIDGE,2018,VAVUNIYA,1
MOTOR CYCLE,RW,QUANNENGWANG,2016,COLOMBO,2
MOTOR CYCLE,RW,SHANGJIANG,2016,COLOMBO,1
MOTOR CYCLE,RW,JINBAO,2016,KANDY,1
MOTOR CYCLE,TAILG,TDRD 16Z,2018,COLOMBO,1
MOTOR CYCLE,SHANGLING,SR COOL,2022,GALLE,1
CAR,AUDI,Q8 E-TRON BLACK,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQB 250,2022,COLOMBO,1
CAR,AUDI,Q4-40 ETRON S LINE,2023,NUWARA-ELIYA,1
CAR,MERCEDES BENZ,EQA300 AMG LINE,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQB300 AMG LINE,2023,JAFFNA,1
CAR,MERCEDES BENZ,EQS-450,2024,GALLE,1
CAR,MERCEDES BENZ,ZAA-243601C,2023,COLOMBO,1
CAR,TOYOTA,BZ4X,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQE 350 4MATIC,2024,COLOMBO,1
CAR,MERCEDES BENZ,EQE 350 SUV,2024,COLOMBO,2
CAR,MERCEDES BENZ,EQS 450 SUV,2024,COLOMBO,1
MOTOR CYCLE,REVOLT,RV400BRZ,2024,COLOMBO,2
CAR,MERCEDES BENZ,EQE 300,2024,KANDY,1
CAR,AUDI,Q4 40 ETRON,2023,COLOMBO,1
MOTOR CYCLE,TMR LUYUAN,S18,2025,PUTTALAM,4
MOTOR CYCLE,TMR LUYUAN,S18,2025,TRINCOMALEE,2
CAR,MERCEDES BENZ,EQB250 PLUS AMG LINE,2024,COLOMBO,1
MOTOR CYCLE,TMR LUYUAN,S18,2025,GALLE,4
CAR,TOYOTA,5AA-A202A RAIZE,2025,RATNAPURA,18
MOTOR CYCLE,REVOLT,RV 400,2024,KANDY,1
MOTOR CYCLE,REVOLT,RV 1,2025,PUTTALAM,5
MOTOR CYCLE,REVOLT,RV 1,2025,HAMBANTOTA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,GALLE,19
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,KEGALLE,2
CAR,TOYOTA,5AA-A202A RAIZE,2025,HAMBANTOTA,9
CAR,TOYOTA,RAIZE 5AA-A202A,2024,RATNAPURA,1
